Assessment Name,URL,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Embedding text
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,S,"Simulated data entry test that measures the ability to process receivables and invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",8,"Accounts Receivable Simulation (New) is an SHL assessment designed to evaluate Simulated data entry test that measures the ability to process receivables and invoices.
The Job levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'S', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 8 minutes."
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",10,"ADO.NET (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 10 minutes."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",17,"Adobe Experience Manager (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 17 minutes."
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",20,"Adobe Photoshop CC is an SHL assessment designed to evaluate The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 20 minutes."
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",10,"Aeronautical Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 10 minutes."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",10,"Aerospace Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 10 minutes."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.
The Job levels: Graduate,
Languages allowed: English (USA),",7,"Agile Software Development is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.
The Job levels: Graduate,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 7 minutes."
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",13,"Agile Testing (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 13 minutes."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,P,"The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.
The Job levels: General Population,
Languages allowed: English (USA),",16,"AI Skills is an SHL assessment designed to evaluate The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.
The Job levels: General Population,
Languages allowed: English (USA),.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 16 minutes."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",6,"Amazon Web Services (AWS) Development (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 6 minutes."
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",7,"Android Development (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 7 minutes."
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",11,"Angular 6 (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 11 minutes."
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",9,"AngularJS (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 9 minutes."
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",7,"Apache Hadoop (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 7 minutes."
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",9,"Apache Hadoop Extensions (New) is an SHL assessment designed to evaluate Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 9 minutes."
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",5,"Apache HBase (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",5,"Apache Hive (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",6,"Apache Kafka (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 6 minutes."
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",6,"Apache Pig (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 6 minutes."
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",8,"Apache Spark (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 8 minutes."
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,K,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",13,"ASP .NET with C# (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 13 minutes."
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",30,"ASP.NET 4.5 is an SHL assessment designed to evaluate The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 30 minutes."
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.
The Job levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English International, English (USA),",,"Assessment and Development Center Exercises is an SHL assessment designed to evaluate SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.
The Job levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English International, English (USA),.
It falls under the category of 'E', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/
The Job levels: Mid-Professional,
Languages allowed: English (USA),",20,"Automata - Fix (New) is an SHL assessment designed to evaluate A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/
The Job levels: Mid-Professional,
Languages allowed: English (USA),.
It falls under the category of 'S', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 20 minutes."
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",30,"Automata - SQL (New) is an SHL assessment designed to evaluate A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'S', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 30 minutes."
